case_id,collision_severity,latitude,longitude,population,lighting,collision_time,intersection,location_type,road_surface,road_condition_1,weather_1,at_fault,financial_responsibility,party_age,party_sex,party_drug_physical,cellphone_in_use,vehicle_make,vehicle_year,party_sex_value,collision_severity_value,population_value,lighting_value,road_surface_value,weather_1_value,vehicle_make_norm,location_type_value,road_condition_1_value,financial_responsibility_value,party_drug_physical_value,alcohol_involved_value,ClusterNumber
4966039,property damage only,33.14278,-117.33299,50000 to 100000,dark with no street lights,03:35:00,0,highway,dry,normal,cloudy,1,proof of insurance obtained,23,male,not applicable,0,honda,2004,1,1,6,1,1,2,honda,1,1,1,1,1,1
4966088,property damage only,32.75742,-117.12562,>250000,dark with no street lights,01:40:00,0,highway,dry,normal,clear,1,proof of insurance obtained,41,male,not applicable,0,mercedes-benz,2002,1,1,8,1,1,1,mercedes-benz,1,1,1,1,0,1
4966096,property damage only,32.74851,-117.10909,>250000,dark with no street lights,18:20:00,0,highway,dry,normal,clear,1,proof of insurance obtained,30,male,not applicable,0,ford,1999,1,1,8,1,1,1,ford,1,1,1,1,0,1
4966414,property damage only,34.06977,-117.35292,25000 to 50000,daylight,14:02:00,0,ramp,dry,normal,clear,1,proof of insurance obtained,60,male,not applicable,0,pontiac,1994,1,1,5,5,1,1,pontiac,2,1,1,1,0,1
4966924,other injury,34.34649,-117.44325,unincorporated,dark with no street lights,02:46:00,0,highway,wet,normal,cloudy,1,proof of insurance obtained,20,female,not applicable,0,acura,2004,2,3,1,1,2,2,acura,1,1,1,1,1,1
4966932,property damage only,34.06487,-117.31269,100000 to 250000,daylight,06:30:00,0,highway,wet,normal,cloudy,1,proof of insurance obtained,22,male,not applicable,0,nissan,1999,1,1,7,5,2,2,nissan,1,1,1,1,0,1
4966939,property damage only,33.96034,-117.3124,>250000,daylight,06:15:00,0,highway,dry,normal,clear,1,proof of insurance obtained,23,female,not applicable,0,chevrolet,2001,2,1,8,5,1,1,chevrolet,1,1,1,1,0,1
4967448,property damage only,33.41675,-117.60427,50000 to 100000,daylight,07:12:00,0,highway,dry,normal,clear,1,proof of insurance obtained,20,male,not applicable,0,toyota,2002,1,1,6,5,1,1,toyota,1,1,1,1,0,1
4967463,other injury,34.2126,-118.22954,unincorporated,dark with street lights,23:23:00,0,highway,dry,normal,clear,1,proof of insurance obtained,27,female,not applicable,0,honda,2007,2,3,1,4,1,1,honda,1,1,1,1,0,1
4967546,pain,33.46659,-117.66753,25000 to 50000,daylight,11:09:00,0,highway,dry,normal,clear,1,proof of insurance obtained,55,female,not applicable,0,nissan,2001,2,2,5,5,1,1,nissan,1,1,1,1,0,1
